"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2373",38.630385143389,0.259219783744247,0.287815597190131,0.900645365556778,0.367776905928405,0.416971770571348
"3033",1.19415931919274,1.53052159010927,1.70112394274441,0.899711979622183,0.368273546507499,0.417376686041833
"751",60.7530282003817,0.215933025222542,0.240196851947923,0.89898357730916,0.368661408254184,0.417658058877894
"1293",18.5979558180267,0.375721803232484,0.419825353631804,0.894947863396551,0.370814958977343,0.419938818039444
"89",7.72986467126447,0.56923715237101,0.637489421048446,0.892935841091786,0.371891532069974,0.420998662108725
"2174",1214.38853679948,0.24494637981345,0.277951702624933,0.881255187502775,0.378179714984501,0.427955259921946
"2614",1.20872623899809,1.54742244977243,1.76357851969804,0.877433259981742,0.380251354353311,0.430136881748622
"1631",7.39982537643914,0.573222315994665,0.653825072312372,0.87672122142297,0.380638077272273,0.4304116126979
"1265",11.5650020374054,0.490619747367584,0.560551509354563,0.87524471735434,0.381440766802345,0.431156318198948
"2770",4.59762357866737,0.737492516304783,0.843666307092182,0.874151913031418,0.38203552950623,0.431602818952935
"3083",1.19504493582114,1.52997707362456,1.75056804141256,0.873988920984752,0.382124287234734,0.431602818952935
"768",78.6798669436606,0.192919303288336,0.220860066877001,0.873491102381011,0.382395453891657,0.431746112469373
"1571",213.342818045622,0.116266609617965,0.134041653388455,0.867391640425548,0.385727460622778,0.435343855972596
"292",1.8163852004209,-1.22410368053,1.41189657797712,-0.866992455129983,0.385946143653008,0.435426418480317
"982",28.6685851658428,0.288446480017543,0.3336828038916,0.864433158237449,0.387349984323438,0.436845515678752
"224",28.0445968274943,0.291529345550398,0.33763587117011,0.863443047505807,0.38789391994722,0.437294125275841
"1177",4571.40002507536,-0.0540229078435261,0.062736619170779,-0.861106456764385,0.389179413373291,0.438578080908809
"572",2709.94506845685,0.068942524118858,0.0801450031778927,0.860222364279289,0.389666478918344,0.438961635889942
"2613",0.468845349435078,-2.25519431351597,2.62731626397772,-0.85836423442286,0.390691370313416,0.439950538192601
"497",23.547858140882,0.321009434513445,0.374161450262497,0.857943634461106,0.390923588346974,0.440046416980492
"1626",0.467074116178266,-2.25089478889008,2.63049368963324,-0.855692905769303,0.392167665290415,0.44113074196095
"1820",9.03541761599611,0.508387228278184,0.594141124269498,0.855667462681111,0.392181742518759,0.44113074196095
"527",688.448223169656,-0.0979842929094584,0.114814327766969,-0.853415203617538,0.393429093248642,0.442367473506177
"598",17.8999265717907,0.366789970071284,0.432668353584518,0.847739306636474,0.396583170722499,0.445746373704627
"1649",26.5819650945818,-0.293731591132182,0.34736721739244,-0.845593874220827,0.397779344040583,0.446922943060241
"265",2.32051093907121,1.01611540371583,1.2048495155609,0.843354618641145,0.399030144471498,0.448159982079099
"2294",1.63528276736511,1.37604312461985,1.63509811174575,0.841566089970401,0.400030876934194,0.449115341008296
"1094",11.3064882561258,-0.443730157152737,0.529877662376422,-0.837420009672938,0.402356522182785,0.451556907115864
"1662",0.454543911163734,-2.22077258638097,2.65356717488353,-0.836900835750819,0.402648310557213,0.451714940077684
"897",0.453658294535327,-2.21857167823667,2.655237685513,-0.835545416646206,0.403410686695524,0.452400590177289
"519",1.30499774711014,-1.3727600381077,1.64779050988238,-0.833091360749304,0.404793205571924,0.453610962948014
"3061",12.9051729364841,0.429689986988477,0.515673142352643,0.833260357574786,0.40469790864427,0.453610962948014
"2830",5.52957342935583,0.644409521824008,0.774447631443615,0.832089215151696,0.405358588877914,0.454074465714233
"67",241.14883226167,0.108305052871015,0.131281779141951,0.824981605055092,0.409382034192975,0.45840982271908
"1640",103.983537790536,-0.155370693164735,0.188594125846516,-0.823836333540848,0.410032559742377,0.458966486625212
